"id","title","subtitle","image","author","averageRating","pageCount","release","addedIn","rating","backlogged"
"7","Masamune-Kun no Revenge (V4 - V11)","","https://m.media-amazon.com/images/I/51K3UL8AhkL.jpg","Hazuki Takeoka","0","0","2012-10-27 00:00:00.000","2023","3.5","0"
"8","Soul Eater 1","","http://books.google.com/books/content?id=R-Z3AwAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","Atsushi Ohkubo","4","206","2009-10-22 00:00:00.000","2022","1","0"
"10","Ich habe mein Leben für 10.000 Yen pro Jahr verkauft 01","","http://books.google.com/books/content?id=H6r7DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Shouichi Taguchi","0","208","2020-10-07 00:00:00.000","2022","3.5","0"
"11","Ich habe mein Leben für 10.000 Yen pro Jahr verkauft 02","","http://books.google.com/books/content?id=N0EKEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Shouichi Taguchi","0","208","2020-12-03 00:00:00.000","2022","3.5","0"
"13","Ich habe mein Leben für 10.000 Yen pro Jahr verkauft 03","","http://books.google.com/books/content?id=cLIWEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Shouichi Taguchi","0","208","2021-02-03 00:00:00.000","2022","3.5","0"
"14","Gute Nacht, Punpun Box","13 Bände in einer Box","https://m.media-amazon.com/images/I/61tHRVjUSzL._AC_UF894,1000_QL80_.jpg","Inio Asano","0","3000","2016-03-17 00:00:00.000","2022","5","0"
"15","Attack on Titan 29","Atemberaubende Fantasy-Action im Kampf gegen grauenhafte Titanen","http://books.google.com/books/content?id=4Pb9DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Hajime Isayama","0","192","2020-09-29 00:00:00.000","2022","5","0"
"17","Attack on Titan 30","","https://m.media-amazon.com/images/I/81-y6FSvZfL._AC_UF1000,1000_QL80_.jpg","Hajime Isayama","0","192","2020-10-27 00:00:00.000","2022","5","0"
"19","Attack on Titan 31","Atemberaubende Fantasy-Action im Kampf gegen grauenhafte Titanen","http://books.google.com/books/content?id=QY4UEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Hajime Isayama","5","192","2021-02-01 00:00:00.000","2022","5","0"
"21","Attack on Titan 32","Atemberaubende Fantasy-Action im Kampf gegen grauenhafte Titanen","http://books.google.com/books/content?id=rEoqEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Hajime Isayama","0","192","2021-05-04 00:00:00.000","2022","5","0"
"22","Attack on Titan 33","Atemberaubende Fantasy-Action im Kampf gegen grauenhafte Titanen","http://books.google.com/books/content?id=egMwEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Hajime Isayama","0","188","2021-08-31 00:00:00.000","2022","5","0"
"23","Attack on Titan 34","Atemberaubende Fantasy-Action im Kampf gegen grauenhafte Titanen","http://books.google.com/books/content?id=GJlAEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Hajime Isayama","0","256","2022-03-01 00:00:00.000","2022","5","0"
"24","Chainsaw Man 01","","http://books.google.com/books/content?id=I6r7DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Tatsuki Fujimoto","0","192","2020-10-07 00:00:00.000","2022","4.5","0"
"25","Chainsaw Man 02","","http://books.google.com/books/content?id=UuoJEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Tatsuki Fujimoto","0","192","2020-12-03 00:00:00.000","2022","4.5","0"
"26","Chainsaw Man 03","","http://books.google.com/books/content?id=erIWEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Tatsuki Fujimoto","0","192","2021-02-03 00:00:00.000","2022","4.5","0"
"27","Chainsaw Man 04","","http://books.google.com/books/content?id=3KIkEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Tatsuki Fujimoto","0","192","2021-04-01 00:00:00.000","2022","4.5","0"
"28","Chainsaw Man 05","","http://books.google.com/books/content?id=VyQvEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Tatsuki Fujimoto","0","192","2021-06-02 00:00:00.000","2022","4.5","0"
"29","Chainsaw Man 06","","http://books.google.com/books/content?id=i6A5EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Tatsuki Fujimoto","3","192","2021-08-04 00:00:00.000","2022","4.5","0"
"30","Chainsaw Man 07","","http://books.google.com/books/content?id=C1FEEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Tatsuki Fujimoto","0","0","2021-10-08 00:00:00.000","2022","4.5","0"
"31","Chainsaw Man 08","","http://books.google.com/books/content?id=dzxPEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","Tatsuki Fujimoto","0","192","2021-12-03 00:00:00.000","2022","4.5","0"
