"id","title","addedIn","image","release","genres","platforms","averageRating","trophy","rating","backlogged"
"5","Pokémon Violet","2023","https://images.igdb.com/igdb/image/upload/t_cover_big/co5sfa.jpg","2022-11-18 01:00:00.000","RPG,TBS,Adventure,","Switch,","7.7","2","2","0"
"6","SUPERHOT VR","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co24uu.jpg","2016-12-06 01:00:00.000","Shooter,Puzzle,Adventure,Indie,","Steam VR,PlayStation VR,","8.3","0","3.5","0"
"7","Beat Saber","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co20ux.jpg","2019-05-21 02:00:00.000","Music,Sport,Indie,","Steam VR,PlayStation VR,","8.5","0","5","0"
"9","The Binding of Isaac: Repentance","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co5uz8.jpg","2021-11-04 01:00:00.000","Shooter,RPG,Adventure,Indie,Arcade,","PS5,Series X,","8.4","0","5","0"
"10","Pistol Whip","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co1swl.jpg","2019-11-07 01:00:00.000","Shooter,Music,Indie,Arcade,","PC,Oculus VR,Steam VR,PlayStation VR,","8.3","0","4","0"
"11","Vader Immortal: Episode I","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co1ydn.jpg","2019-05-21 02:00:00.000","Adventure,","PlayStation VR,","7","0","3.5","0"
"12","Carrion","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co2eau.jpg","2020-07-23 02:00:00.000","Platform,Adventure,Indie,","Linux,PC,Mac,PS4,XONE,Switch,","7.6","1","3","0"
"13","Doki Doki Literature Club Plus!","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co395s.jpg","2021-06-30 02:00:00.000","RPG,Simulator,Adventure,Indie,Visual Novel,","PC,Mac,PS4,XONE,Switch,PS5,","8.7","1","5","0"
"14","Vader Immortal: Episode II","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co1ydo.jpg","2019-09-25 02:00:00.000","Adventure,","PlayStation VR,","6.8","0","2.5","0"
"15","Subnautica: Below Zero","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co39ve.jpg","2019-01-30 01:00:00.000","Adventure,Indie,","PC,Mac,PS4,XONE,Switch,PS5,Series X,","8.3","1","4.5","0"
"16","Vader Immortal: Episode III","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co1ydq.jpg","2019-11-21 01:00:00.000","Adventure,","PlayStation VR,","6.5","0","3","0"
"17","Pokémon Legends: Arceus","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co3d03.jpg","2022-01-28 01:00:00.000","RPG,TBS,Adventure,","Switch,","8.1","2","3.5","0"
"18","Wolfenstein II: The New Colossus","2022","https://images.igdb.com/igdb/image/upload/t_cover_big/co21c5.jpg","2017-10-26 02:00:00.000","Shooter,Adventure,","PC,PS4,XONE,Switch,","8.5","0","3.5","0"
