"id","title","image","genres","addedIn","release","averageRating","rating","backlogged"
"68","Resident Evil: Welcome to Raccoon City","https://image.tmdb.org/t/p/original//jPF6wQqKwv3xrXnaIEEyJaJwClf.jpg","Horror,Science Fiction,Action,","2023","2021-11-24 00:00:00.000","6.1","1.5","0"
"69","Glass Onion: A Knives Out Mystery","https://image.tmdb.org/t/p/original//vDGr1YdrlfbU9wxTOdpf3zChmv9.jpg","Komödie,Krimi,Mystery,","2023","2022-11-23 00:00:00.000","7.1","4","0"
"70","Harry Potter 20th Anniversary: Return to Hogwarts","https://image.tmdb.org/t/p/original//gbzGZ0sQVjNDeG1U9ZwOLa0lVbL.jpg","Dokumentarfilm,","2022","2022-01-01 00:00:00.000","7.3","3","0"
"71","Guardians of the Galaxy Vol. 2","https://image.tmdb.org/t/p/original//txB1e1QSR2sedZsCjGBMgiT8hPm.jpg","Abenteuer,Action,Science Fiction,","2022","2017-05-05 00:00:00.000","7.6","5","0"
"72","Spider-Man: Homecoming","https://image.tmdb.org/t/p/original//iUJKhJVOjy4lvghAF84eMuWk8Ge.jpg","Action,Abenteuer,Science Fiction,","2022","2017-07-07 00:00:00.000","7.4","5","0"
"73","Red Notice","https://image.tmdb.org/t/p/original//qMcujb8b0Efsnz3kB0WwasmJNYj.jpg","Action,Komödie,Krimi,","2022","2021-11-05 00:00:00.000","6.8","3","0"
"74","Thor: Tag der Entscheidung","https://image.tmdb.org/t/p/original//8etFULS6CRN39vvXykQH1mUD1yB.jpg","Action,Abenteuer,Fantasy,","2022","2017-11-03 00:00:00.000","7.6","4.5","0"
"75","Cash Truck","https://image.tmdb.org/t/p/original//3fJQeeF6sJ2xMtrVZecw1QowHdG.jpg","Action,Krimi,Thriller,","2022","2021-05-07 00:00:00.000","7.7","2.5","0"
"76","Sieben","https://image.tmdb.org/t/p/original//79tFIrbMweqs52PxForIRJRFCIW.jpg","Krimi,Mystery,Thriller,","2022","1995-09-22 00:00:00.000","8.4","3.5","0"
"77","The Covenant","https://image.tmdb.org/t/p/original//wsd4dWaVklbdYPWHl7eGbKRAODv.jpg","Horror,","2022","2017-02-07 00:00:00.000","4.6","1.5","0"
"78","Guns Akimbo","https://image.tmdb.org/t/p/original//1pvLVieWEQJSyYtObNaBMoDoKqh.jpg","Komödie,Action,","2022","2020-02-28 00:00:00.000","6.5","4","0"
"79","Knives Out - Mord ist Familiensache","https://image.tmdb.org/t/p/original//ftCASOlSQ6QtjS3TIJB7xXHW5H9.jpg","Komödie,Krimi,Mystery,","2022","2019-11-27 00:00:00.000","7.9","5","0"
