"id","title","image","genres","addedIn","release","seasons","averageRating","episode","rating","backlogged"
"5","Arcane","https://image.tmdb.org/t/p/original//fqldf2t8ztc9aiwn3k6mlX3tvRT.jpg","Animation,Sci-Fi & Fantasy,Action & Adventure,","2022","2021-11-06 00:00:00.000","1","8.7","0","5","0"
"6","Das Buch von Boba Fett","https://image.tmdb.org/t/p/original//6EgZYDbMJ83offbLvHthqg7nXA0.jpg","Action & Adventure,Sci-Fi & Fantasy,","2022","2021-12-29 00:00:00.000","1","7.9","0","3.5","0"
"7","Upload","https://image.tmdb.org/t/p/original//6SIDIB59JYsQ8EfUgM0IaFfwXtS.jpg","Komödie,Sci-Fi & Fantasy,","2022","2020-04-30 00:00:00.000","1-2","8.1","0","3.5","0"
"8","All of Us Are Dead","https://image.tmdb.org/t/p/original//z4IP8ZiKctB5U9brfKHYujYBUTD.jpg","Action & Adventure,Drama,Sci-Fi & Fantasy,","2022","2022-01-28 00:00:00.000","1","8.4","0","3","0"
"9","Lupin","https://image.tmdb.org/t/p/original//mGlq9PLzPidSJiOCEvei1KSDaOd.jpg","Krimi,Drama,Mystery,","2022","2021-01-08 00:00:00.000","1-2","7.8","0","3","0"
"10","Alice in Borderland","https://image.tmdb.org/t/p/original//uRSYujn1URlH48rG1ycOGp7Xmgw.jpg","Drama,Mystery,Action & Adventure,","2022","2020-12-10 00:00:00.000","1","8.2","0","3","0"
"11","Moon Knight","https://image.tmdb.org/t/p/original//m9fANhU0knW4wPmTekBCJFOmVve.jpg","Action & Adventure,Sci-Fi & Fantasy,Mystery,","2022","2022-03-30 00:00:00.000","1","7.9","0","5","0"
"12","Star Wars: The Bad Batch","https://image.tmdb.org/t/p/original//gm7L5QRVe8X8xc8p9902a6LLYrP.jpg","Animation,Action & Adventure,Sci-Fi & Fantasy,","2022","2021-05-04 00:00:00.000","1","8.4","0","3.5","0"
"13","Stranger Things","https://image.tmdb.org/t/p/original//vNJ95BMCzIBJZhW0IEoxzOoW53P.jpg","Drama,Sci-Fi & Fantasy,Mystery,","2022","2016-07-15 00:00:00.000","4","8.6","0","4","0"
"14","Obi-Wan Kenobi","https://image.tmdb.org/t/p/original//4Lok3HBSfbQxibQZBygoVCwKKrZ.jpg","Sci-Fi & Fantasy,Action & Adventure,Drama,","2022","2022-05-26 00:00:00.000","1","7.4","0","3.5","0"
"15","Ms. Marvel","https://image.tmdb.org/t/p/original//ls2Hl8CXmqEHvkDqkN3fRtmDodK.jpg","Sci-Fi & Fantasy,Action & Adventure,Komödie,","2022","2022-06-08 00:00:00.000","1","6.8","0","3.5","0"
